Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
AVGO,HOOD,0.5057909542167328,-3.6128717048248613,-3.4568881317725864,7.657007852093784
GM,GOOGL,4.702644636343194,-3.6078868102460806,-3.457437824930831,7.873545254510549
APH,RTX,0.73078620718122,-3.588251739056399,-3.4568881317725864,7.026540718002078
WBD,WDC,7.208451512566599,-3.5870852189895523,-3.4568881317725864,6.825834524809402
GM,GOOG,4.670066582388207,-3.586542634191411,-3.457437824930831,7.887416814866628
BRO,MRSH,1.2785826088203103,-3.569773905487525,-3.4568881317725864,6.99516610033359
GM,WDC,4.155907287760394,-3.56498551231377,-3.4568881317725864,7.052348002967418
CMI,INCY,0.20312507665986373,-3.544877902095082,-3.4568881317725864,6.8950092320822245
FIX,TEL,0.1619663686864379,-3.5394072280645026,-3.4568881317725864,7.46914342768351
NWS,NWSA,0.8062340454749334,-3.5319987498680434,-3.4573260719088132,10.164597449780933
CIEN,GM,0.1894277011232649,-3.5196648571520717,-3.4568881317725864,7.156118806732887
F,HCA,37.34698551405486,-3.5118520384863166,-3.457215237265747,4.683948858516935
APP,GLW,0.11258795629294294,-3.510040578353476,-3.4568881317725864,7.4298538673423735
COF,NTRS,0.6862042578031624,-3.508962777445879,-3.457664132155201,6.4715099899147575
C,SYF,0.6378477439567892,-3.501422996070068,-3.4569962781990573,11.231094949840088
GOOG,MU,1.1053777658438184,-3.5009221815649503,-3.4586084859607156,14.753402996626045
FITB,TFC,1.025508176969364,-3.4863767998921755,-3.4568881317725864,7.667999605790006
PAYX,ROP,3.3860750720832566,-3.4761284018244476,-3.4569962781990573,6.063267868029101
EVRG,LNT,0.6333209528790213,-3.4753189866921215,-3.4568881317725864,7.434135583464887
HIG,TRV,1.774073391074665,-3.472230494312119,-3.4568881317725864,7.496863107470031
APH,GE,1.6339435129487734,-3.471673689251877,-3.4568881317725864,9.300798051706813
GOOGL,MU,1.0969778720117143,-3.4664912683911964,-3.4586084859607156,14.847718608296143
IBKR,NSC,2.5872437308395213,-3.46339901915563,-3.4569962781990573,4.708873399378069
APH,IDXX,3.905013117000282,-3.4595076002268055,-3.457105309726321,4.884569695281944
MU,WDC,0.75022811693844,-3.4523044921478103,-3.457105309726321,9.521536865079025
FIX,KLAC,0.8338414831104918,-3.438149808099842,-3.4568881317725864,8.190757513616216
CHRW,INCY,0.5629864451906221,-3.437474261619053,-3.457105309726321,6.136841310540099
