Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
JPM,RL,1.319951614219246,-3.8009742737073244,-3.4435494520411605,12.280052441582678
RL,WFC,0.1898108733515497,-3.800431880533187,-3.443470002903981,12.495550592489815
BLK,CBRE,0.1877579145505271,-3.799286738319265,-3.443496379464,13.180621744375301
WMB,WMT,1.718944194679137,-3.788858997193033,-3.4437660979098843,14.219912906951132
CMS,DUK,1.752097127660399,-3.7749029022491607,-3.443470002903981,12.427522783454886
L,RL,6.25334398297266,-3.7472933681706184,-3.443496379464,10.469209505233316
GE,RTX,0.4479947998528786,-3.7400968824310983,-3.443470002903981,12.043465789739546
GS,L,0.06476670966778875,-3.7400561229474962,-3.443470002903981,12.90435960345375
CVNA,HWM,0.41524346939205986,-3.737309808771842,-3.4436298692815304,14.713910721782161
BAC,MS,4.281970259499292,-3.7233349544826067,-3.443470002903981,13.796424465712551
GE,JCI,0.3250697127503244,-3.7133415905924947,-3.443470002903981,13.220823486694625
FIX,TEL,0.14682081884043838,-3.705615983868273,-3.443470002903981,13.373975750491654
AVB,EQR,0.28115888860274846,-3.7012305034528925,-3.443470002903981,13.065039432391286
COF,RL,1.756360334999908,-3.7001252427362856,-3.443470002903981,13.009587735452403
JCI,L,0.471313450223911,-3.6953076623437453,-3.443470002903981,12.847409055100329
AEE,DGX,1.4830074102612365,-3.694883890014729,-3.443496379464,10.990645126462368
AEP,WELL,2.4259401755984054,-3.69295009630128,-3.443470002903981,12.838623865123576
MS,STT,0.6119155889132376,-3.688283164823089,-3.443470002903981,13.014374464915676
MO,PPL,0.4223472266968466,-3.6771717105038455,-3.443470002903981,13.134323673153652
GEV,NTRS,0.10593656183752165,-3.67680002624406,-3.4452655826028318,8.98874311012686
BLK,PNR,0.0902243520696163,-3.663324326827029,-3.443496379464,12.39442959827584
JCI,RTX,1.3272630528211025,-3.6600031101301895,-3.443470002903981,12.990764113443875
TKO,WMT,0.447964161244215,-3.657971288395199,-3.443470002903981,13.39985750410602
CRH,PH,6.830294926133554,-3.6532160343394593,-3.443470002903981,13.112637184311586
COF,TKO,1.040213266817593,-3.652828165370336,-3.4435494520411605,12.057342710159057
BLK,CCL,0.039430495091183286,-3.6402288282280306,-3.443470002903981,12.894639058974581
AEE,NI,0.47251948217354306,-3.6279654868747766,-3.4435494520411605,8.62248427139637
MS,PH,3.7381507000511753,-3.626659410566484,-3.4435228622952065,11.887877802399773
PM,T,0.14319291014742988,-3.625332847030463,-3.443470002903981,12.868863257829734
JPM,PLTR,1.2503538056330032,-3.6110164904877706,-3.443470002903981,14.068119010106834
